pt_id,lat,lon,avg_gvi_pct,l_j_meters,weight_sGVI,sGVI_contribution,ndvi_mean_voronoi
pt00069,41.005981,70.088484,24.21,4725.526168147564,0.0388476749072758,0.9405022095051476,0.2321751116232884
pt00072,41.00593599999999,70.088377,22.37,164.54868655185928,0.0013527242584483,0.0302604416614904,0.2965332044783839
pt00074,41.005890000000015,70.08826900000001,19.51,70.5846021328118,0.0005802629335961,0.0113209298344617,0.2996821680808831
pt00077,41.005843000000006,70.088164,17.83,67.75883741842645,0.0005570328455419,0.0099318956360122,0.2739776175418518
pt00080,41.00579400000001,70.088058,17.08,58.8588681534631,0.0004838678475316,0.0082644628358402,0.2343370874025799
pt00082,41.00574600000001,70.087952,17.34,126.67295313293036,0.0010413548730345,0.0180570934984187,0.224614258760452
pt00085,41.005696999999984,70.087849,20.61,166.4309301344603,0.0013681978341289,0.0281985573613971,0.2038229825132503
pt00087,41.005646,70.087744,25.12,85.74088414221974,0.0007048599192764,0.017706081172225,0.175761072043024
pt00090,41.005595,70.087643,25.23,198.31804224091456,0.0016303358735271,0.0411333740890909,0.180323766406019
pt00093,41.00554399999999,70.08754,23.5,100.41028207577668,0.0008254543211971,0.0193981765481331,0.2496556515693024
pt00095,41.005496,70.087437,21.83,76.10663894743557,0.000625658574921,0.0136581266905267,0.2197057950136293
pt00098,41.00544799999999,70.087332,16.88,66.46297838633419,0.0005463798285839,0.0092228915064976,0.1606520086308108
pt00100,41.0054,70.08722500000002,14.21,81.88077093098389,0.0006731266439121,0.0095651296099909,0.1757490559690671
pt00103,41.005352,70.087121,14.15,70.04753041219324,0.0005758477665095,0.0081482458961107,0.2205177429944378
pt00106,41.005302999999984,70.08701400000001,14.88,77.06130523374257,0.0006335067095447,0.0094265798380259,0.2477781441934897
pt00108,41.005256,70.086913,15.18,63.73108112760531,0.0005239214074874,0.0079531269656587,0.1994848596722179
pt00111,41.005209,70.08681,16.7,70.79004658654844,0.0005819518543779,0.0097185959681122,0.2082798300877849
pt00113,41.00516199999999,70.086707,18.62,64.91378953335325,0.0005336442341149,0.0099364556392194,0.178568144625999
pt00116,41.005115,70.086602,18.04,965.9744779342942,0.0079410971714557,0.1432573929730624,0.172505087867881
pt00118,41.005067,70.086498,16.9,116.84445868922468,0.0009605566416014,0.0162334072430645,0.1082006854147878
pt00121,41.00502,70.086394,15.38,56.34151624962367,0.0004631731640386,0.0071236032629145,0.0982190683202617
pt00123,41.00497200000001,70.086291,12.74,49.30930912135891,0.0004053626924258,0.0051643207015048,0.1839351920266339
pt00126,41.00492400000001,70.086187,14.21,47.33262456340028,0.0003891127349883,0.005529291964185,0.2489714656608736
pt00129,41.004877,70.086083,27.82,58.64740815899428,0.0004821294741042,0.0134128419695806,0.2019184898783317
pt00131,41.00482800000001,70.085979,34.31,43.77204368115662,0.0003598418593921,0.0123461741957458,0.1532281503723724
pt00134,41.004781,70.085875,25.99,47.00111850692174,0.0003863874851318,0.0100422107385765,0.1329268726054938
pt00136,41.004735,70.085771,18.29,52.15721412414938,0.000428774791688,0.0078422909399753,0.0912636387297121
pt00139,41.004689,70.085668,18.69,56.81487313805241,0.0004670645432972,0.0087294363142261,0.0955405565200267
pt00141,41.004643,70.085564,12.05,48.178724969883056,0.0003960683696331,0.0047726238540796,0.0807892217619421
pt00144,41.004598000000016,70.085461,8.11,49.10566734489671,0.0004036885911198,0.0032739144739818,0.0623061214031447
pt00146,41.004551,70.085352,7.47,59.38907763908877,0.000488226601456,0.0036470527128766,0.05541451879244
pt00149,41.004503,70.085245,8.23,52.29316148763606,0.0004298923897699,0.0035380143678066,0.1017680701772592
pt00152,41.00445499999999,70.085138,11.37,50.84711750663568,0.0004180047301788,0.004752713782134,0.2085989541051358
pt00154,41.00440699999999,70.08503,20.54,60.56287506171218,0.0004978761725426,0.0102263765840256,0.2949165801953256
pt00157,41.004359,70.084922,29.37,52.313597319615496,0.0004300603889575,0.0126308736236828,0.272620378302241
pt00160,41.00431300000001,70.084819,30.89,50.28024033433601,0.0004133445379974,0.0127682127787423,0.2786138812393016
pt00162,41.004267000000006,70.084716,36.4,80.52527659117894,0.0006619833761409,0.0240961948915294,0.3615160426581194
pt00165,41.00421999999999,70.084613,38.87,62.42737193610337,0.0005132038558237,0.0199482338758689,0.3152315564514251
pt00167,41.00417499999999,70.084509,42.05,67.84124639789913,0.0005577103144903,0.0234517187243194,0.2516026330091167
pt00170,41.00412899999999,70.084406,39.2,64.56791701779717,0.0005308008802606,0.0208073945062165,0.124357991763955
pt00172,41.00408399999999,70.084302,27.25,155.41274612197765,0.0012776193852208,0.0348151282472672,0.0996552059951605
pt00175,41.00403699999999,70.084199,16.57,66.64516417045576,0.000547877544153,0.0090783309066168,0.1069064504305497
pt00177,41.00399099999999,70.084096,10.94,78.07763354908853,0.0006418617562821,0.0070219676137266,0.0753074301383719
pt00180,41.003945,70.083993,8.61,71.1733748340051,0.000585103124863,0.0050377379050706,0.049860394673983
pt00182,41.003897,70.083885,8.47,64.04139078045883,0.0005264724056378,0.0044592212757522,0.0950440898910453
pt00185,41.003849,70.083776,10.57,49.30985402562264,0.0004053671719827,0.004284731007858,0.143301068645893
pt00188,41.003803,70.083667,16.24,71.4461899229942,0.0005873458871522,0.009538497207353,0.127591480669228
pt00190,41.003757,70.083561,19.26,57.173438762767546,0.0004700122448496,0.0090524358358052,0.1482026396751135
